empresa,sindicato,tipo,categoria,estado,endereço,bairro,cep,Cidade,email
Empresa 240,Empresa 240,Trabalhador,Categoria 240,*Sergipe*.,Endereço 240,Atalaia,49.037-510,Aracaju/SE,240email@emailfalso.com
Empresa 241,Empresa 241,Trabalhador,Categoria 241,*Minas Gerais*: Arcos.,Endereço 241,centro,35.588-000,Arcos/MG,241email@emailfalso.com
Empresa 242,Empresa 242,Trabalhador,Categoria 242,*São Paulo*: Borborema.,Endereço 242,Centro,14.955-000,Borborema/SP,242email@emailfalso.com
Empresa 243,Empresa 243,Trabalhador,Categoria 243,*São Paulo*: Bauru.,Endereço 243,Centro,17.015-350,Bauru/SP,243email@emailfalso.com
Empresa 244,Empresa 244,Trabalhador,Categoria 244,*Rio Grande do Norte*.,Endereço 244,Cidade Alta,59.025-370,Natal/RN,244email@emailfalso.com
Empresa 245,Empresa 245,Trabalhador,Categoria 245,*Bahia*: Nordestina e Queimadas.,Endereço 245,CENTRO,48.860-000,Queimadas/BA,245email@emailfalso.com
Empresa 246,Empresa 246,Trabalhador,Categoria 246,"*Paraná*: Alvorada do Sul, Apucarana, Arapongas, Assaí, Bela Vista do Paraíso, Bom Sucesso, Borrazópolis, Cafeara, Califórnia, Cambé, Cambira, Centenário do Sul, Congonhinhas, Cornélio Procópio, Faxinal, Florestópolis, Grandes Rios, Guaraci, Ibiporã, Ivaiporã, Jaguapitã, Jandaia do Sul, Jardim Alegre, Jataizinho, Kaloré, Leópolis, Londrina, Lunardelli, Lupionópolis, Mandaguari, Manoel Ribas, Marilândia do Sul, Marumbi, Miraselva, Nova América da Colina, Nova Fátima, Porecatu, Primeiro de Maio, Rancho Alegre, Rio Bom, Rolândia, Rosário do Ivaí, Sabáudia, Santa Cecília do Pavão, Santa Mariana, Santo Antônio do Paraíso, São Jerônimo da Serra, São João do Ivaí, São Pedro do Ivaí, São Sebastião da Amoreira, Sertaneja, Sertanópolis e Uraí.",Endereço 246,Centro,86.010-210,Londrina/PR,246email@emailfalso.com
Empresa 247,Empresa 247,Trabalhador,Categoria 247,*Bahia*: Capela do Alto Alegre.,Endereço 247,CENTRO,44.645-000,Capela do Alto Alegre/BA,247email@emailfalso.com
Empresa 248,Empresa 248,Trabalhador,Categoria 248,*Sergipe*: Canindé de São Francisco.,Endereço 248,Centro,49.820-000,Canindé de São Francisco/SE,248email@emailfalso.com
Empresa 249,Empresa 249,Trabalhador,Categoria 249,*Distrito Federal*.,Endereço 249,Asa Norte,70.910-900,Brasília/DF,249email@emailfalso.com
Empresa 250,Empresa 250,Trabalhador,Categoria 250,*Paraná*: Cândido de Abreu.,Endereço 250,Jardim Bela Vista,84.470-000,Cândido de Abreu/PR,250email@emailfalso.com
Empresa 251,Empresa 251,Trabalhador,Categoria 251,*Alagoas*: Arapiraca.,Endereço 251,Centro,57.300-340,Arapiraca/AL,251email@emailfalso.com
Empresa 252,Empresa 252,Trabalhador,Categoria 252,*Mato Grosso*.,Endereço 252,Poção,78.015-630,Cuiabá/MT,252email@emailfalso.com
Empresa 253,Empresa 253,Trabalhador,Categoria 253,"*Maranhão*: Altamira do Maranhão, Bacabal, Bom Lugar, Brejo de Areia, Conceição do Lago-Açu, Lago Verde, Marajá do Sena, Olho d'Água das Cunhãs, Paulo Ramos, São Luís Gonzaga do Maranhão e Vitorino Freire.",Endereço 253,Cururupu,65.700-000,Bacabal/MA,253email@emailfalso.com
Empresa 254,Empresa 254,Trabalhador,Categoria 254,*Ceará*: Hidrolândia.,Endereço 254,Centro,62.270-000,Hidrolândia/CE,254email@emailfalso.com
Empresa 255,Empresa 255,Trabalhador,Categoria 255,*Santa Catarina*: Rio Negrinho.,Endereço 255,CENTRO,89.295-000,Rio Negrinho/SC,255email@emailfalso.com
Empresa 256,Empresa 256,Trabalhador,Categoria 256,*Ceará*: Aratuba.,Endereço 256,Centro,62.762-000,Aratuba/CE,256email@emailfalso.com
Empresa 257,Empresa 257,Trabalhador,Categoria 257,*Paraná*: Ortigueira.,Endereço 257,centro,84.350-000,Ortigueira/PR,257email@emailfalso.com
Empresa 258,Empresa 258,Trabalhador,Categoria 258,*Paraná*: Cambé e Londrina.,Endereço 258,Centro,86.010-510,Londrina/PR,258email@emailfalso.com
Empresa 259,Empresa 259,Trabalhador,Categoria 259,*Rondônia*.,Endereço 259,São João Bosco,78.904-300,Porto Velho/RO,259email@emailfalso.com
Empresa 260,Empresa 260,Trabalhador,Categoria 260,*Paraíba*: São João do Rio do Peixe.,Endereço 260,Centro,58.910-000,São João do Rio do Peixe/PB,260email@emailfalso.com
Empresa 261,Empresa 261,Trabalhador,Categoria 261,*Santa Catarina*: Laguna.,Endereço 261,Centro,88.790-000,Laguna/SC,261email@emailfalso.com
Empresa 262,Empresa 262,Trabalhador,Categoria 262,*Rio Grande do Norte*.,Endereço 262,Lagoa Nova,59.075-210,Natal/RN,262email@emailfalso.com
Empresa 263,Empresa 263,Trabalhador,Categoria 263,*Paraná*: Iporã.,Endereço 263,CENTRO,87.560-000,Iporã/PR,263email@emailfalso.com
Empresa 264,Empresa 264,Trabalhador,Categoria 264,*São Paulo*: Ubatuba.,Endereço 264,centro,11.680-000,Ubatuba/SP,264email@emailfalso.com
Empresa 265,Empresa 265,Trabalhador,Categoria 265,*Pernambuco*: Santa Maria da Boa Vista.,Endereço 265,centro,56.380-000,Santa Maria da Boa Vista/PE,265email@emailfalso.com
Empresa 266,Empresa 266,Trabalhador,Categoria 266,*Santa Catarina*: Curitibanos.,Endereço 266,Centro,89.520-000,Curitibanos/SC,266email@emailfalso.com
Empresa 267,Empresa 267,Trabalhador,Categoria 267,*Santa Catarina*: Trombudo Central.,Endereço 267,Cetro,89.176-000,Trombudo Central/SC,267email@emailfalso.com
Empresa 268,Empresa 268,Trabalhador,Categoria 268,*Pará*: Novo Repartimento.,Endereço 268,Parque Espigão.,68.473-000,Novo Repartimento/PA,268email@emailfalso.com
Empresa 269,Empresa 269,Trabalhador,Categoria 269,*Pará*.,Endereço 269,Souza,66.613-080,Belém/PA,269email@emailfalso.com
Empresa 270,Empresa 270,Trabalhador,Categoria 270,*Paraná*: Apucarana.,Endereço 270,Barra Funda,86.800-605,Apucarana/PR,270email@emailfalso.com
Empresa 271,Empresa 271,Trabalhador,Categoria 271,*Paraná*.,Endereço 271,Bairro Alto,82.820-330,Curitiba/PR,271email@emailfalso.com
Empresa 272,Empresa 272,Trabalhador,Categoria 272,*Paraná*: Icaraíma.,Endereço 272,Centro,87.530-000,Icaraíma/PR,272email@emailfalso.com
Empresa 273,Empresa 273,Trabalhador,Categoria 273,*Paraná*: Paranavaí.,Endereço 273,Centro,87.702-050,Paranavaí/PR,273email@emailfalso.com
Empresa 274,Empresa 274,Trabalhador,Categoria 274,*Paraná*.,Endereço 274,Centro,80.060-030,Curitiba/PR,274email@emailfalso.com
Empresa 275,Empresa 275,Trabalhador,Categoria 275,*Santa Catarina*.,Endereço 275,Centro,88.015-010,Florianópolis/SC,275email@emailfalso.com
Empresa 276,Empresa 276,Trabalhador,Categoria 276,*Santa Catarina*: Florianópolis.,Endereço 276,Centro,88.020-130,Florianópolis/SC,276email@emailfalso.com
Empresa 277,Empresa 277,Trabalhador,Categoria 277,*Santa Catarina*.,Endereço 277,Campinas,88.101-000,São José/SC,277email@emailfalso.com
Empresa 278,Empresa 278,Trabalhador,Categoria 278,*Santa Catarina*: Água Doce.,Endereço 278,Centro,89.654-000,Água Doce/SC,278email@emailfalso.com
Empresa 279,Empresa 279,Trabalhador,Categoria 279,*Santa Catarina*: Joaçaba.,Endereço 279,Centro,89.600-000,Joaçaba/SC,279email@emailfalso.com
Empresa 280,Empresa 280,Trabalhador,Categoria 280,*Santa Catarina*: Caçador.,Endereço 280,GIOPPO,89.500-000,Caçador/SC,280email@emailfalso.com
Empresa 281,Empresa 281,Trabalhador,Categoria 281,*Santa Catarina*.,Endereço 281,Centro,88.020-600,Florianópolis/SC,281email@emailfalso.com
Empresa 282,Empresa 282,Trabalhador,Categoria 282,*Paraná*.,Endereço 282,Batel,80.420-160,Curitiba/PR,282email@emailfalso.com
Empresa 283,Empresa 283,Trabalhador,Categoria 283,*Paraná*.,Endereço 283,Rebouças,80.230-020,Curitiba/PR,283email@emailfalso.com
Empresa 284,Empresa 284,Trabalhador,Categoria 284,*Maranhão*: São Luís.,Endereço 284,Centro,65.010-640,São Luís/MA,284email@emailfalso.com
Empresa 285,Empresa 285,Trabalhador,Categoria 285,*Maranhão*: Açailândia.,Endereço 285,centro,65.930-000,Açailândia/MA,285email@emailfalso.com
Empresa 286,Empresa 286,Trabalhador,Categoria 286,"*Alagoas*, *Ceará*, *Paraíba*, *Pernambuco*, *Piauí*, *Rio Grande do Norte* e *Sergipe*.",Endereço 286,Aldeota,60.170-002,Fortaleza/CE,286email@emailfalso.com
Empresa 287,Empresa 287,Trabalhador,Categoria 287,*Paraná*.,Endereço 287,Alto da Rua XV,80.045-090,Curitiba/PR,287email@emailfalso.com
Empresa 288,Empresa 288,Trabalhador,Categoria 288,*São Paulo*: Vinhedo.,Endereço 288,Centro,13.280-000,Vinhedo/SP,288email@emailfalso.com
Empresa 289,Empresa 289,Trabalhador,Categoria 289,*São Paulo*: Ituverava.,Endereço 289,CENTRO,14.500-000,Ituverava/SP,289email@emailfalso.com
Empresa 290,Empresa 290,Trabalhador,Categoria 290,*São Paulo*: São Paulo.,Endereço 290,República,01.047-010,São Paulo/SP,290email@emailfalso.com
Empresa 291,Empresa 291,Trabalhador,Categoria 291,*Rio de Janeiro*.,Endereço 291,Vila da Penha,21.211-030,Rio de Janeiro/RJ,291email@emailfalso.com
Empresa 292,Empresa 292,Trabalhador,Categoria 292,*São Paulo*: Aguaí.,Endereço 292,Centro,13.860-000,Aguaí/SP,292email@emailfalso.com
Empresa 293,Empresa 293,Trabalhador,Categoria 293,*São Paulo*: Itatiba.,Endereço 293,Jardim Ipê,13.256-520,Itatiba/SP,293email@emailfalso.com
Empresa 294,Empresa 294,Trabalhador,Categoria 294,*São Paulo*: Jardinópolis.,Endereço 294,CENTRO,14.680-000,Jardinópolis/SP,294email@emailfalso.com
Empresa 295,Empresa 295,Trabalhador,Categoria 295,*São Paulo*: São Simão.,Endereço 295,Centro,14.200-000,São Simão/SP,295email@emailfalso.com
Empresa 296,Empresa 296,Trabalhador,Categoria 296,*São Paulo*: São Joaquim da Barra.,Endereço 296,VILA MARTUS,14.600-000,São Joaquim da Barra/SP,296email@emailfalso.com
Empresa 297,Empresa 297,Trabalhador,Categoria 297,"*São Paulo*: Arujá, Bom Jesus dos Perdões, Igaratá, Nazaré Paulista e Santa Isabel.",Endereço 297,Arujamérica,07.400-000,Arujá/SP,297email@emailfalso.com
Empresa 298,Empresa 298,Trabalhador,Categoria 298,*São Paulo*.,Endereço 298,Centro,01.014-000,São Paulo/SP,298email@emailfalso.com
Empresa 299,Empresa 299,Trabalhador,Categoria 299,"*Distrito Federal*, *Rio de Janeiro* e *São Paulo*.",Endereço 299,Cidade Universitária,13.083-859,Campinas/SP,299email@emailfalso.com
Empresa 300,Empresa 300,Trabalhador,Categoria 300,*São Paulo*: Santa Bárbara d'Oeste.,Endereço 300,Centro,13.450-033,Santa Bárbara D`Oeste/SP,300email@emailfalso.com
Empresa 301,Empresa 301,Trabalhador,Categoria 301,,Endereço 301,,,Brasília/DF,301email@emailfalso.com
Empresa 302,Empresa 302,Trabalhador,Categoria 302,*São Paulo*.,Endereço 302,Vila Mariana,04.107-021,São Paulo/SP,302email@emailfalso.com
Empresa 303,Empresa 303,Trabalhador,Categoria 303,*São Paulo*: São Paulo e Suzano.,Endereço 303,Pinheiros,05.406-000,São Paulo/SP,303email@emailfalso.com
Empresa 304,Empresa 304,Trabalhador,Categoria 304,"*São Paulo*: Altinópolis, Américo Brasiliense, Aramina, Araraquara, Batatais, Boa Esperança do Sul, Borborema, Brodowski, Buritizal, Cajuru, Cássia dos Coqueiros, Cravinhos, Cristais Paulista, Descalvado, Dobrada, Dourado, Dumont, Franca, Guará, Ibaté, Ibitinga, Igarapava, Ipuã, Itapirapuã Paulista, Itápolis, Ituverava, Jardinópolis, Jeriquara, Luís Antônio, Matão, Miguelópolis, Morro Agudo, Nova Europa, Nuporanga, Orlândia, Patrocínio Paulista, Pedregulho, Pontal, Porto Ferreira, Restinga, Ribeirão Bonito, Ribeirão Corrente, Ribeirão Preto, Rifaina, Rincão, Sales Oliveira, Santa Lúcia, Santa Rita do Passa Quatro, Santa Rita d'Oeste, Santa Rosa de Viterbo, Santo Antônio da Alegria, São Carlos, São João da Boa Vista, São Joaquim da Barra, São Simão, Serra Azul, Serrana, Sertãozinho e Tabatinga.",Endereço 304,Campos Elíseos,14.085-460,Ribeirão Preto/SP,304email@emailfalso.com
Empresa 305,Empresa 305,Trabalhador,Categoria 305,*São Paulo*: Votorantim.,Endereço 305,Jardim Paraíso,18.110-365,Votorantim/SP,305email@emailfalso.com
Empresa 306,Empresa 306,Trabalhador,Categoria 306,*São Paulo*: Angatuba e Campina do Monte Alegre.,Endereço 306,CENTRO,18.240-000,Angatuba/SP,306email@emailfalso.com
Empresa 307,Empresa 307,Trabalhador,Categoria 307,*São Paulo*: Pompéia.,Endereço 307,CENTRO,17.580-000,Pompéia/SP,307email@emailfalso.com
Empresa 308,Empresa 308,Trabalhador,Categoria 308,"*São Paulo*: Assis, Avaré, Bauru, Marília, Mirandópolis, Pirajuí, Presidente Prudente, Presidente Venceslau e São José do Rio Preto.",Endereço 308,Centro,17.015-172,Bauru/SP,308email@emailfalso.com
Empresa 309,Empresa 309,Trabalhador,Categoria 309,*São Paulo*.,Endereço 309,Sé,01.019-020,São Paulo/SP,309email@emailfalso.com
Empresa 310,Empresa 310,Trabalhador,Categoria 310,*São Paulo*: São Paulo.,Endereço 310,Centro,01.012-010,São Paulo/SP,310email@emailfalso.com
Empresa 311,Empresa 311,Trabalhador,Categoria 311,"*São Paulo*: Biritiba Mirim, Paraibuna, Salesópolis e Santa Branca.",Endereço 311,Centro,08.970-000,Salesópolis/SP,311email@emailfalso.com
Empresa 312,Empresa 312,Trabalhador,Categoria 312,"*São Paulo*: Estiva Gerbi, Lindóia, Mogi Guaçu, Monte Alegre do Sul, Pedreira e Serra Negra.",Endereço 312,Parque Cidade Nova,13.845-426,Mogi Guaçu/SP,312email@emailfalso.com
Empresa 313,Empresa 313,Trabalhador,Categoria 313,*São Paulo*: Campo Limpo Paulista.,Endereço 313,Vila Tavares,13.230-075,Campo Limpo Paulista/SP,313email@emailfalso.com
Empresa 314,Empresa 314,Trabalhador,Categoria 314,*São Paulo*: Poá.,Endereço 314,Centro,08.550-350,Poá/SP,314email@emailfalso.com
Empresa 315,Empresa 315,Trabalhador,Categoria 315,*São Paulo*: Suzano.,Endereço 315,Parque Suzano,08.673-000,Suzano/SP,315email@emailfalso.com
Empresa 316,Empresa 316,Trabalhador,Categoria 316,"*São Paulo*: Bragança Paulista, Joanópolis, Pedra Bela, Piracaia, Tuiuti e Vargem.",Endereço 316,Jardim São Lourenço,12.908-592,Bragança Paulista/SP,316email@emailfalso.com
Empresa 317,Empresa 317,Trabalhador,Categoria 317,*São Paulo*: Ribeirão Pires.,Endereço 317,Centro,09.400-130,Ribeirão Pires/SP,317email@emailfalso.com
Empresa 318,Empresa 318,Trabalhador,Categoria 318,*São Paulo*: Presidente Venceslau.,Endereço 318,Vila Carmem,19.400-000,Presidente Venceslau/SP,318email@emailfalso.com
Empresa 319,Empresa 319,Trabalhador,Categoria 319,*São Paulo*: Guaratinguetá.,Endereço 319,Santa Rita,12.502-080,Guaratinguetá/SP,319email@emailfalso.com
Empresa 320,Empresa 320,Trabalhador,Categoria 320,*Paraná*: Ponta Grossa.,Endereço 320,Uvaranas,84.031-000,Ponta Grossa/PR,320email@emailfalso.com
Empresa 321,Empresa 321,Trabalhador,Categoria 321,*Paraná*: Guarapuava.,Endereço 321,Centro,85.010-240,Guarapuava/PR,321email@emailfalso.com
Empresa 322,Empresa 322,Trabalhador,Categoria 322,"*Paraná*: Nova Tebas, Palmital e Pitanga.",Endereço 322,Centro,85.200-000,Pitanga/PR,322email@emailfalso.com
Empresa 323,Empresa 323,Trabalhador,Categoria 323,*Paraná*.,Endereço 323,Boa Vista,82.540-060,Curitiba/PR,323email@emailfalso.com
Empresa 324,Empresa 324,Trabalhador,Categoria 324,*Santa Catarina*.,Endereço 324,Agronômica,88.025-260,Florianópolis/SC,324email@emailfalso.com
Empresa 325,Empresa 325,Trabalhador,Categoria 325,"*Santa Catarina*: Botuverá, Brusque e Guabiruba.",Endereço 325,Centro,88.350-450,Brusque/SC,325email@emailfalso.com
Empresa 326,Empresa 326,Trabalhador,Categoria 326,*Santa Catarina*.,Endereço 326,Centro,88.010-320,Florianópolis/SC,326email@emailfalso.com
Empresa 327,Empresa 327,Trabalhador,Categoria 327,*Paraná*: Ponta Grossa.,Endereço 327,Centro,84.010-360,Ponta Grossa/PR,327email@emailfalso.com
Empresa 328,Empresa 328,Trabalhador,Categoria 328,*Paraná*: Curitiba.,Endereço 328,Parolin,80.220-070,Curitiba/PR,328email@emailfalso.com
Empresa 329,Empresa 329,Trabalhador,Categoria 329,*Paraná*: Curitiba.,Endereço 329,Rebouças,80.220-070,Curitiba/PR,329email@emailfalso.com
Empresa 330,Empresa 330,Trabalhador,Categoria 330,*Paraná*.,Endereço 330,Cabral,80.035-030,Curitiba/PR,330email@emailfalso.com
Empresa 331,Empresa 331,Trabalhador,Categoria 331,"*Santa Catarina*: Abdon Batista, Arroio Trinta, Brunópolis, Calmon, Fraiburgo, Frei Rogério, Ibiam, Ibicaré, Iomerê, Lebon Régis, Macieira, Matos Costa, Monte Carlo, Pinheiro Preto, Rio das Antas, Salto Veloso, São José do Cerrito, Tangará, Treze Tílias e Vargem.",Endereço 331,São José,89.580-000,Fraiburgo/SC,331email@emailfalso.com
Empresa 332,Empresa 332,Trabalhador,Categoria 332,*Paraná*: Foz do Iguaçu e Santa Terezinha de Itaipu.,Endereço 332,Centro,85.851-220,Foz do Iguaçu/PR,332email@emailfalso.com
Empresa 333,Empresa 333,Trabalhador,Categoria 333,*Paraná*: Santa Helena.,Endereço 333,Centro,85.892-000,Santa Helena/PR,333email@emailfalso.com
Empresa 334,Empresa 334,Trabalhador,Categoria 334,"*Paraná*: Abatiá, Alvorada do Sul, Andirá, Apucarana, Arapongas, Assaí, Astorga, Bandeirantes, Barra do Jacaré, Bela Vista do Paraíso, Cafeara, Califórnia, Cambará, Cambé, Centenário do Sul, Congonhinhas, Conselheiro Mairinck, Cornélio Procópio, Curiúva, Faxinal, Florestópolis, Guapirama, Guaraci, Ibaiti, Ibiporã, Jacarezinho, Jaguapitã, Jataizinho, Jundiaí do Sul, Leópolis, Londrina, Lupionópolis, Marilândia do Sul, Miraselva, Nossa Senhora das Graças, Nova América da Colina, Nova Fátima, Ortigueira, Porecatu, Primeiro de Maio, Rancho Alegre, Ribeirão Claro, Ribeirão do Pinhal, Rio Bom, Rolândia, Sabáudia, Santa Amélia, Santa Cecília do Pavão, Santa Inês, Santa Mariana, Santo Antônio da Platina, Santo Inácio, São Jerônimo da Serra, São Sebastião da Amoreira, Sapopema, Sertaneja, Sertanópolis e Uraí.",Endereço 334,Canadá,86.020-480,Londrina/PR,334email@emailfalso.com
Empresa 335,Empresa 335,Trabalhador,Categoria 335,*Rio de Janeiro*.,Endereço 335,Centro,20.230-010,Rio de Janeiro/RJ,335email@emailfalso.com
Empresa 336,Empresa 336,Trabalhador,Categoria 336,*Bahia*.,Endereço 336,Barris,40.070-190,Salvador/BA,336email@emailfalso.com
Empresa 337,Empresa 337,Trabalhador,Categoria 337,*Paraná*: Capitão Leônidas Marques.,Endereço 337,Centro,85.790-000,Capitão Leônidas Marques/PR,337email@emailfalso.com
Empresa 338,Empresa 338,Trabalhador,Categoria 338,*Paraná*: Alvorada do Sul.,Endereço 338,centro,86.150-000,Alvorada do Sul/PR,338email@emailfalso.com
Empresa 339,Empresa 339,Trabalhador,Categoria 339,*São Paulo*: Catanduva.,Endereço 339,Centro,15.800-080,Catanduva/SP,339email@emailfalso.com
Empresa 340,Empresa 340,Trabalhador,Categoria 340,*São Paulo*: Birigui e Brejo Alegre.,Endereço 340,Jardim São Paulo,16.203-104,Birigüi/SP,340email@emailfalso.com
Empresa 341,Empresa 341,Trabalhador,Categoria 341,*São Paulo*: Pereira Barreto.,Endereço 341,Jardim Universitário,15.370-000,Pereira Barreto/SP,341email@emailfalso.com
Empresa 342,Empresa 342,Trabalhador,Categoria 342,*São Paulo*: São Bernardo do Campo.,Endereço 342,Vila Olga,09.721-200,São Bernardo do Campo/SP,342email@emailfalso.com
Empresa 343,Empresa 343,Trabalhador,Categoria 343,*São Paulo*: Cândido Mota.,Endereço 343,Centro,19.880-000,Cândido Mota/SP,343email@emailfalso.com
Empresa 344,Empresa 344,Trabalhador,Categoria 344,*São Paulo*: Bastos.,Endereço 344,CENTRO,17.690-000,Bastos/SP,344email@emailfalso.com
Empresa 345,Empresa 345,Trabalhador,Categoria 345,"*São Paulo*: Álvaro de Carvalho, Alvinlândia, Bernardino de Campos, Campina do Monte Alegre, Campos Novos Paulista, Canitar, Chavantes, Duartina, Espírito Santo do Turvo, Gália, Ibirarema, Ipaussu, Lupércio, Ocauçu, Oscar Bressane, Ourinhos, Ribeirão do Sul, Salto Grande, São Pedro do Turvo e Ubirajara.",Endereço 345,Jardim Matilde,19.901-510,Ourinhos/SP,345email@emailfalso.com
Empresa 346,Empresa 346,Trabalhador,Categoria 346,*São Paulo*: Maracaí.,Endereço 346,CENTRO,19.840-000,Maracaí/SP,346email@emailfalso.com
Empresa 347,Empresa 347,Trabalhador,Categoria 347,*São Paulo*: Araras e São Carlos.,Endereço 347,Jardim Guanabara,13.565-905,São Carlos/SP,347email@emailfalso.com
Empresa 348,Empresa 348,Trabalhador,Categoria 348,*Bahia*.,Endereço 348,Graça,40.150-360,Salvador/BA,348email@emailfalso.com
Empresa 349,Empresa 349,Trabalhador,Categoria 349,"*Rio de Janeiro*: Angra dos Reis, Aperibé, Araruama, Areal, Armação dos Búzios, Arraial do Cabo, Barra do Piraí, Barra Mansa, Belford Roxo, Bom Jardim, Bom Jesus do Itabapoana, Cabo Frio, Cachoeiras de Macacu, Cambuci, Cantagalo, Carapebus, Cardoso Moreira, Carmo, Casimiro de Abreu, Comendador Levy Gasparian, Conceição de Macabu, Cordeiro, Duas Barras, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Iguaba Grande, Itaboraí, Itaguaí, Italva, Itaocara, Itaperuna, Itatiaia, Japeri, Laje do Muriaé, Macaé, Macuco, Magé, Mangaratiba, Maricá, Mendes, Mesquita, Miguel Pereira, Miracema, Natividade, Nilópolis, Niterói, Nova Friburgo, Paracambi, Paraíba do Sul, Paraty, Paty do Alferes, Petrópolis, Pinheiral, Piraí, Porciúncula, Porto Real, Quatis, Queimados, Quissamã, Resende, Rio Bonito, Rio Claro, Rio das Flores, Rio das Ostras, Rio de Janeiro, Santa Maria Madalena, Santo Antônio de Pádua, São Fidélis, São Francisco de Itabapoana, São Gonçalo, São João da Barra, São João de Meriti, São José de Ubá, São José do Vale do Rio Preto, São Pedro da Aldeia, São Sebastião do Alto, Sapucaia, Saquarema, Silva Jardim, Sumidouro, Tanguá, Teresópolis, Trajano de Moraes, Valença, Varre-Sai, Vassouras e Volta Redonda.",Endereço 349,Galeão,21.941-590,Rio de Janeiro/RJ,349email@emailfalso.com
Empresa 350,Empresa 350,Trabalhador,Categoria 350,*Piauí*.,Endereço 350,Centro,64.000-128,Teresina/PI,350email@emailfalso.com
Empresa 351,Empresa 351,Trabalhador,Categoria 351,*Rio Grande do Norte*: Caraúbas.,Endereço 351,Centro,59.780-000,Caraúbas/RN,351email@emailfalso.com
Empresa 352,Empresa 352,Trabalhador,Categoria 352,*Espírito Santo*: Conceição da Barra.,Endereço 352,Centro,29.960-000,Conceição da Barra/ES,352email@emailfalso.com
Empresa 353,Empresa 353,Trabalhador,Categoria 353,*Paraná*.,Endereço 353,Centro,80.010-910,Curitiba/PR,353email@emailfalso.com
Empresa 354,Empresa 354,Trabalhador,Categoria 354,*Rio de Janeiro*: Barra do Piraí.,Endereço 354,Centro,27.135-480,Barra do Piraí/RJ,354email@emailfalso.com
Empresa 355,Empresa 355,Trabalhador,Categoria 355,"*Bahia*: Almadina, Arataca, Aurelino Leal, Buerarema, Camacan, Canavieiras, Coaraci, Firmino Alves, Floresta Azul, Gongogi, Ibicaraí, Ibirapitanga, Ilhéus, Itabuna, Itacaré, Itajuípe, Itapé, Itapetinga, Itapitanga, Itororó, Jussari, Maraú, Pau Brasil, Porto Seguro, Santa Cruz da Vitória, Santa Luzia, São José da Vitória, Ubaitaba, Una e Uruçuca.",Endereço 355,Centro,45.600-004,Itabuna/BA,355email@emailfalso.com
Empresa 356,Empresa 356,Trabalhador,Categoria 356,*Minas Gerais*: Padre Carvalho.,Endereço 356,Centro,39.573-000,Padre Carvalho/MG,356email@emailfalso.com
Empresa 357,Empresa 357,Trabalhador,Categoria 357,*Distrito Federal*.,Endereço 357,Asa Sul,70.302-914,Brasília/DF,357email@emailfalso.com
Empresa 358,Empresa 358,Trabalhador,Categoria 358,*Tocantins*.,Endereço 358,Plano Diretor Sul,77.023-484,Palmas/TO,358email@emailfalso.com
Empresa 359,Empresa 359,Trabalhador,Categoria 359,,Endereço 359,,,Brasília/DF,359email@emailfalso.com
Empresa 360,Empresa 360,Trabalhador,Categoria 360,*Paraíba*.,Endereço 360,Centro,58.013-310,João Pessoa/PB,360email@emailfalso.com
Empresa 361,Empresa 361,Trabalhador,Categoria 361,*Maranhão*.,Endereço 361,Centro,65.021-000,São Luís/MA,361email@emailfalso.com
Empresa 362,Empresa 362,Trabalhador,Categoria 362,*Goiás*.,Endereço 362,Setor Central,74.020-030,Goiânia/GO,362email@emailfalso.com
Empresa 363,Empresa 363,Trabalhador,Categoria 363,*Ceará*: Beberibe.,Endereço 363,Centro,62.840-000,Beberibe/CE,363email@emailfalso.com
Empresa 364,Empresa 364,Trabalhador,Categoria 364,"*Paraná*: Dois Vizinhos, Salto do Lontra e Verê.",Endereço 364,Centro Sul,85.660-000,Dois Vizinhos/PR,364email@emailfalso.com
Empresa 365,Empresa 365,Trabalhador,Categoria 365,*Minas Gerais*: Muzambinho.,Endereço 365,Centro,37.890-000,Muzambinho/MG,365email@emailfalso.com
